"","ID","module_label","module_color"
"46","TraesCS1A02G006200","ME65","brown"
"47","TraesCS1A02G006300","ME12","brown"
"48","TraesCS1A02G006400","ME77","lightpink4"
"49","TraesCS1A02G006700","ME1","brown"
"50","TraesCS1A02G006800","ME82","brown"
"51","TraesCS1A02G007100","ME20","royalblue"
"52","TraesCS1A02G007500","ME150","antiquewhite4"
"53","TraesCS1A02G007800","ME50","palevioletred1"
"54","TraesCS1A02G007900","ME68","antiquewhite4"
"55","TraesCS1A02G008100","ME97","brown"
"56","TraesCS1A02G008200","ME163","indianred1"
"57","TraesCS1A02G008400","ME31","lightsteelblue1"
"58","TraesCS1A02G008500","ME119","antiquewhite4"
"59","TraesCS1A02G008600","ME27","firebrick2"
"60","TraesCS1A02G009000","ME167","lightsteelblue1"
"61","TraesCS1A02G009100","ME100","honeydew1"
"62","TraesCS1A02G009200","ME139","indianred1"
"63","TraesCS1A02G009300","ME96","brown"
"64","TraesCS1A02G009320","ME103","palevioletred1"
"65","TraesCS1A02G009400","ME122","indianred1"
"66","TraesCS1A02G009500","ME32","honeydew1"
"67","TraesCS1A02G009600","ME91","indianred1"
"68","TraesCS1A02G009900","ME140","indianred1"
"69","TraesCS1A02G010200","ME165","indianred1"
"70","TraesCS1A02G010300","ME81","indianred1"
"71","TraesCS1A02G010400","ME121","indianred1"
"72","TraesCS1A02G010700","ME42","darkseagreen"
"73","TraesCS1A02G011100","ME125","antiquewhite2"
"74","TraesCS1A02G011200","ME19","antiquewhite2"
"75","TraesCS1A02G011400","ME111","coral3"
"76","TraesCS1A02G011500","ME15","brown"
"77","TraesCS1A02G011600","ME133","magenta1"
"78","TraesCS1A02G011700","ME177","brown"
"79","TraesCS1A02G011800","ME47","brown"
"80","TraesCS1A02G011900","ME28","magenta1"
"81","TraesCS1A02G012000","ME156","brown"
"82","TraesCS1A02G012400","ME51","brown"
"83","TraesCS1A02G012500","ME113","brown"
"84","TraesCS1A02G012600","ME49","cornsilk"
"85","TraesCS1A02G012700","ME69","darkred"
"86","TraesCS1A02G012900","ME76","lavenderblush3"
"87","TraesCS1A02G013000","ME58","antiquewhite4"
"88","TraesCS1A02G013700","ME64","brown"
"89","TraesCS1A02G013800","ME35","brown"
"90","TraesCS1A02G014100","ME70","darkolivegreen"
"91","TraesCS1A02G014300","ME29","coral4"
"92","TraesCS1A02G014900","ME157","brown"
"93","TraesCS1A02G015100","ME21","brown"
"94","TraesCS1A02G015200","ME73","brown"
"95","TraesCS1A02G015300","ME57","brown"
"96","TraesCS1A02G015400","ME181","darkolivegreen2"
"97","TraesCS1A02G015500","ME34","brown"
"98","TraesCS1A02G015600","ME56","aliceblue"
"99","TraesCS1A02G015900","ME179","brown"
"100","TraesCS1A02G016000","ME5","magenta3"
"101","TraesCS1A02G016100","ME120","mediumpurple"
"102","TraesCS1A02G016200","ME178","brown"
"103","TraesCS1A02G016800","ME90","skyblue"
"104","TraesCS1A02G016900","ME101","brown"
"105","TraesCS1A02G017000","ME39","brown"
"106","TraesCS1A02G017200","ME149","brown"
"107","TraesCS1A02G017300","ME53","skyblue"
"108","TraesCS1A02G017400","ME55","blue3"
"109","TraesCS1A02G017800","ME45","honeydew1"
"110","TraesCS1A02G017900","ME14","lightsteelblue1"
"111","TraesCS1A02G018000","ME107","cyan"
"112","TraesCS1A02G018300","ME162","salmon"
"113","TraesCS1A02G018400","ME17","brown"
"114","TraesCS1A02G018500","ME78","antiquewhite1"
"115","TraesCS1A02G018600","ME13","antiquewhite1"
"116","TraesCS1A02G018800","ME43","palevioletred1"
"117","TraesCS1A02G018900","ME48","lightsteelblue1"
"118","TraesCS1A02G019000","ME129","antiquewhite1"
"119","TraesCS1A02G019100","ME25","orangered3"
"120","TraesCS1A02G019200","ME37","paleturquoise4"
"121","TraesCS1A02G019600","ME65","orangered4"
"122","TraesCS1A02G020300","ME12","antiquewhite1"
"123","TraesCS1A02G020400","ME77","antiquewhite1"
"124","TraesCS1A02G020500","ME1","paleturquoise"
"125","TraesCS1A02G020600","ME82","paleturquoise"
"126","TraesCS1A02G020700","ME20","antiquewhite4"
"127","TraesCS1A02G020900","ME150","palevioletred1"
"128","TraesCS1A02G021000","ME50","palevioletred1"
"129","TraesCS1A02G021100","ME68","antiquewhite1"
"130","TraesCS1A02G021200","ME97","antiquewhite4"
"131","TraesCS1A02G021400","ME163","darkolivegreen"
"132","TraesCS1A02G021700","ME31","brown"
"133","TraesCS1A02G021800","ME119","brown"
"134","TraesCS1A02G022500","ME27","antiquewhite1"
"135","TraesCS1A02G022600","ME167","royalblue"
"136","TraesCS1A02G023200","ME100","antiquewhite1"
"137","TraesCS1A02G023205","ME139","coral3"
"138","TraesCS1A02G023400","ME96","antiquewhite1"
"139","TraesCS1A02G023600","ME103","green2"
"140","TraesCS1A02G023700","ME122","aliceblue"
"141","TraesCS1A02G023800","ME32","firebrick4"
"142","TraesCS1A02G024300","ME91","antiquewhite2"
"143","TraesCS1A02G024400","ME140","paleturquoise"
"144","TraesCS1A02G024500","ME165","paleturquoise"
"145","TraesCS1A02G024600","ME81","coral3"
"146","TraesCS1A02G024700","ME121","coral3"
"147","TraesCS1A02G025100","ME42","paleturquoise"
"148","TraesCS1A02G025200","ME125","paleturquoise"
"149","TraesCS1A02G025500","ME19","brown"
"150","TraesCS1A02G025600","ME111","brown"
"151","TraesCS1A02G025700","ME15","coral3"
"152","TraesCS1A02G025800","ME133","ivory"
"153","TraesCS1A02G025900","ME177","plum4"
"154","TraesCS1A02G026000","ME47","darkred"
"155","TraesCS1A02G026200","ME28","brown"
"156","TraesCS1A02G026300","ME156","pink4"
"157","TraesCS1A02G026400","ME51","brown"
"158","TraesCS1A02G026900","ME113","coral3"
"159","TraesCS1A02G027200","ME49","firebrick2"
"160","TraesCS1A02G027300","ME69","brown"
"161","TraesCS1A02G027400","ME76","lightblue3"
"162","TraesCS1A02G027500","ME58","paleturquoise"
"163","TraesCS1A02G027600","ME64","paleturquoise"
"164","TraesCS1A02G027800","ME35","darkseagreen"
"165","TraesCS1A02G027900","ME70","paleturquoise"
"166","TraesCS1A02G028300","ME29","brown"
"167","TraesCS1A02G028400","ME157","pink4"
"168","TraesCS1A02G028500","ME21","pink4"
"169","TraesCS1A02G028600","ME73","magenta3"
"170","TraesCS1A02G028900","ME57","brown"
"171","TraesCS1A02G029100","ME181","darkseagreen"
"172","TraesCS1A02G029200","ME34","darkolivegreen"
"173","TraesCS1A02G029300","ME56","paleturquoise"
"174","TraesCS1A02G029700","ME179","grey60"
"175","TraesCS1A02G029800","ME5","brown"
"176","TraesCS1A02G030000","ME120","paleturquoise"
"177","TraesCS1A02G030100","ME178","antiquewhite4"
"178","TraesCS1A02G030200","ME90","darkolivegreen"
"179","TraesCS1A02G030300","ME101","blue2"
"180","TraesCS1A02G030400","ME39","chocolate2"
"181","TraesCS1A02G030500","ME149","paleturquoise"
"182","TraesCS1A02G030600","ME53","paleturquoise"
"183","TraesCS1A02G030700","ME55","firebrick4"
"184","TraesCS1A02G030900","ME45","mediumpurple1"
"185","TraesCS1A02G031200","ME14","paleturquoise"
"186","TraesCS1A02G031300","ME107","brown"
"187","TraesCS1A02G031400","ME162","brown"
"188","TraesCS1A02G031600","ME17","firebrick4"
"189","TraesCS1A02G031700","ME78","darkolivegreen"
"190","TraesCS1A02G031800","ME13","tan"
"191","TraesCS1A02G031900","ME43","lightpink2"
"192","TraesCS1A02G032500","ME48","antiquewhite4"
"193","TraesCS1A02G032600","ME129","salmon"
"194","TraesCS1A02G032700","ME25","cyan"
"195","TraesCS1A02G032900","ME37","maroon"
"196","TraesCS1A02G033000","ME65","royalblue"
"197","TraesCS1A02G033100","ME12","darkred"
"198","TraesCS1A02G033200","ME77","paleturquoise"
"199","TraesCS1A02G033300","ME1","paleturquoise"
"200","TraesCS1A02G033400","ME82","brown"
"201","TraesCS1A02G033500","ME20","paleturquoise"
"202","TraesCS1A02G033600","ME150","antiquewhite4"
"203","TraesCS1A02G033700","ME50","cyan"
"204","TraesCS1A02G033800","ME68","orangered3"
"205","TraesCS1A02G034300","ME97","darkseagreen"
"206","TraesCS1A02G034400","ME163","darkviolet"
"207","TraesCS1A02G034700","ME31","plum3"
"208","TraesCS1A02G034900","ME119","orangered4"
"209","TraesCS1A02G035000","ME27","darkolivegreen"
"210","TraesCS1A02G035100","ME167","brown"
"211","TraesCS1A02G035200","ME100","green3"
"212","TraesCS1A02G035300","ME139","darkolivegreen"
"213","TraesCS1A02G035500","ME96","mistyrose"
"214","TraesCS1A02G035600","ME103","brown"
"215","TraesCS1A02G035700","ME122","brown"
"216","TraesCS1A02G035800","ME32","paleturquoise"
"217","TraesCS1A02G035900","ME91","paleturquoise"
"218","TraesCS1A02G036100","ME140","grey60"
"219","TraesCS1A02G036200","ME165","paleturquoise"
"220","TraesCS1A02G036300","ME81","lightsteelblue1"
"221","TraesCS1A02G036500","ME121","antiquewhite4"
"222","TraesCS1A02G037000","ME42","brown"
"223","TraesCS1A02G037400","ME125","brown"
"224","TraesCS1A02G037500","ME19","lavenderblush3"
"225","TraesCS1A02G037900","ME111","antiquewhite4"
"226","TraesCS1A02G038400","ME15","antiquewhite4"
"227","TraesCS1A02G038500","ME133","brown"
"228","TraesCS1A02G038800","ME177","brown"
"229","TraesCS1A02G039100","ME47","brown"
"230","TraesCS1A02G039200","ME28","brown"
"231","TraesCS1A02G039400","ME156","ivory"
"232","TraesCS1A02G039800","ME51","deeppink"
"233","TraesCS1A02G039900","ME113","orange"
"234","TraesCS1A02G040400","ME49","darkred"
"235","TraesCS1A02G040500","ME69","antiquewhite4"
"236","TraesCS1A02G040600","ME76","antiquewhite4"
"237","TraesCS1A02G040700","ME58","coral4"
"238","TraesCS1A02G041000","ME64","orange"
"239","TraesCS1A02G041100","ME35","pink4"
"240","TraesCS1A02G042100","ME70","chocolate2"
"241","TraesCS1A02G042500","ME29","lightsteelblue1"
"242","TraesCS1A02G042700","ME157","darkred"
"243","TraesCS1A02G042800","ME21","aliceblue"
"244","TraesCS1A02G042900","ME73","brown"
"245","TraesCS1A02G043200","ME57","blue3"
"246","TraesCS1A02G043400","ME181","blue3"
"247","TraesCS1A02G043600","ME34","brown"
"248","TraesCS1A02G043700","ME56","lightsteelblue1"
"249","TraesCS1A02G043900","ME179","salmon"
"250","TraesCS1A02G044000","ME5","darkmagenta"
"251","TraesCS1A02G044100","ME120","lightpink2"
"252","TraesCS1A02G044200","ME178","brown"
"253","TraesCS1A02G044500","ME90","coral4"
"254","TraesCS1A02G044600","ME101","antiquewhite4"
"255","TraesCS1A02G044800","ME39","darkred"
"256","TraesCS1A02G045300","ME149","brown"
"257","TraesCS1A02G045400","ME53","royalblue3"
"258","TraesCS1A02G045700","ME55","blue3"
"259","TraesCS1A02G045800","ME45","blue3"
"260","TraesCS1A02G046100","ME14","blue2"
"261","TraesCS1A02G046300","ME107","lightpink4"
"262","TraesCS1A02G046400","ME162","darkred"
"263","TraesCS1A02G046500","ME17","brown"
"264","TraesCS1A02G046600","ME78","deeppink"
"265","TraesCS1A02G046700","ME13","honeydew1"
"266","TraesCS1A02G046800","ME43","green3"
"267","TraesCS1A02G046900","ME48","skyblue"
"268","TraesCS1A02G047000","ME129","antiquewhite4"
"269","TraesCS1A02G047200","ME25","brown"
"270","TraesCS1A02G047300","ME37","ivory"
"271","TraesCS1A02G047400","ME65","brown"
"272","TraesCS1A02G047500","ME12","darkolivegreen"
"273","TraesCS1A02G048000","ME77","navajowhite3"
"274","TraesCS1A02G048100","ME1","darkolivegreen2"
"275","TraesCS1A02G048200","ME82","plum3"
"276","TraesCS1A02G048300","ME20","orange"
"277","TraesCS1A02G048600","ME150","lightsteelblue1"
"278","TraesCS1A02G048700","ME50","mediumpurple"
"279","TraesCS1A02G049000","ME68","darkred"
"280","TraesCS1A02G049100","ME97","orange"
"281","TraesCS1A02G049300","ME163","antiquewhite4"
"282","TraesCS1A02G049600","ME31","green4"
"283","TraesCS1A02G049700","ME119","firebrick4"
"284","TraesCS1A02G050100","ME27","antiquewhite4"
"285","TraesCS1A02G050300","ME167","orangered3"
"286","TraesCS1A02G050700","ME100","antiquewhite1"
"287","TraesCS1A02G051000","ME139","brown"
"288","TraesCS1A02G051100","ME96","salmon"
"289","TraesCS1A02G051200","ME103","antiquewhite4"
"290","TraesCS1A02G051300","ME122","darkolivegreen"
"291","TraesCS1A02G051400","ME32","lightblue3"
"292","TraesCS1A02G051500","ME91","ivory"
"293","TraesCS1A02G051600","ME140","green4"
"294","TraesCS1A02G051700","ME165","firebrick4"
"295","TraesCS1A02G051800","ME81","darkseagreen"
"296","TraesCS1A02G051900","ME121","antiquewhite4"
"297","TraesCS1A02G052100","ME42","tan"
"298","TraesCS1A02G052200","ME125","antiquewhite4"
"299","TraesCS1A02G052300","ME19","maroon"
"300","TraesCS1A02G052400","ME111","mediumpurple1"
"301","TraesCS1A02G053600","ME15","orangered3"
"302","TraesCS1A02G053700","ME133","antiquewhite4"
"303","TraesCS1A02G054000","ME177","lightpink4"
"304","TraesCS1A02G054300","ME47","darkred"
"305","TraesCS1A02G054400","ME28","darkred"
"306","TraesCS1A02G054500","ME156","maroon"
"307","TraesCS1A02G054700","ME51","coral3"
"308","TraesCS1A02G054900","ME113","brown"
"309","TraesCS1A02G055000","ME49","antiquewhite4"
"310","TraesCS1A02G055200","ME69","darkred"
"311","TraesCS1A02G055400","ME76","antiquewhite4"
"312","TraesCS1A02G055500","ME58","brown"
"313","TraesCS1A02G055600","ME64","chocolate2"
"314","TraesCS1A02G055800","ME35","tan"
"315","TraesCS1A02G056000","ME70","darkred"
"316","TraesCS1A02G056100","ME29","firebrick2"
"317","TraesCS1A02G056105","ME157","royalblue"
"318","TraesCS1A02G056200","ME21","grey60"
"319","TraesCS1A02G056400","ME73","sienna3"
"320","TraesCS1A02G056500","ME57","orange"
"321","TraesCS1A02G056600","ME181","brown"
"322","TraesCS1A02G056700","ME34","brown"
"323","TraesCS1A02G056800","ME56","royalblue"
"324","TraesCS1A02G056900","ME179","antiquewhite4"
"325","TraesCS1A02G057100","ME5","firebrick4"
"326","TraesCS1A02G057200","ME120","antiquewhite4"
"327","TraesCS1A02G057300","ME178","magenta4"
"328","TraesCS1A02G057400","ME90","firebrick2"
"329","TraesCS1A02G057700","ME101","brown"
"330","TraesCS1A02G058000","ME39","brown"
"331","TraesCS1A02G058100","ME149","darkseagreen"
"332","TraesCS1A02G058300","ME53","tan"
"333","TraesCS1A02G058400","ME55","lightpink2"
"334","TraesCS1A02G058500","ME45","darkseagreen"
"335","TraesCS1A02G058600","ME14","orange"
"336","TraesCS1A02G058900","ME107","brown"
"337","TraesCS1A02G059100","ME162","green4"
"338","TraesCS1A02G059200","ME17","antiquewhite4"
"339","TraesCS1A02G059700","ME78","skyblue"
"340","TraesCS1A02G059800","ME13","cyan"
"341","TraesCS1A02G059900","ME43","magenta4"
"342","TraesCS1A02G060100","ME48","firebrick2"
"343","TraesCS1A02G060500","ME129","antiquewhite4"
"344","TraesCS1A02G060600","ME25","green3"
"345","TraesCS1A02G060700","ME37","antiquewhite4"
"346","TraesCS1A02G060800","ME65","orange"
"347","TraesCS1A02G061700","ME12","indianred1"
"348","TraesCS1A02G061900","ME77","lightsteelblue1"
"349","TraesCS1A02G062100","ME1","darkred"
"350","TraesCS1A02G062400","ME82","darkred"
"351","TraesCS1A02G062800","ME20","brown"
"352","TraesCS1A02G063300","ME150","royalblue3"
"353","TraesCS1A02G063500","ME50","antiquewhite4"
"354","TraesCS1A02G063600","ME68","antiquewhite4"
"355","TraesCS1A02G064000","ME97","darkred"
"356","TraesCS1A02G064100","ME163","brown"
"357","TraesCS1A02G064800","ME31","ivory"
"358","TraesCS1A02G064900","ME119","antiquewhite4"
"359","TraesCS1A02G065000","ME27","coral3"
"360","TraesCS1A02G065200","ME167","lightcyan1"
"361","TraesCS1A02G065300","ME100","aliceblue"
"362","TraesCS1A02G065400","ME139","mediumpurple1"
"363","TraesCS1A02G065500","ME96","orangered4"
"364","TraesCS1A02G065600","ME103","antiquewhite4"
"365","TraesCS1A02G065700","ME122","darkolivegreen"
"366","TraesCS1A02G065800","ME32","darkviolet"
"367","TraesCS1A02G066000","ME91","firebrick4"
"368","TraesCS1A02G066200","ME140","ivory"
"369","TraesCS1A02G066300","ME165","firebrick2"
"370","TraesCS1A02G066400","ME81","antiquewhite4"
"371","TraesCS1A02G066600","ME121","lightsteelblue1"
"372","TraesCS1A02G066700","ME42","antiquewhite4"
"373","TraesCS1A02G066800","ME125","brown"
"374","TraesCS1A02G066900","ME19","darkred"
"375","TraesCS1A02G067000","ME111","honeydew1"
"376","TraesCS1A02G067200","ME15","indianred1"
"377","TraesCS1A02G067300","ME133","antiquewhite4"
"378","TraesCS1A02G067400","ME177","indianred1"
"379","TraesCS1A02G067462","ME47","honeydew1"
"380","TraesCS1A02G067472","ME28","blue3"
"381","TraesCS1A02G067600","ME156","orangered1"
"382","TraesCS1A02G067700","ME51","chocolate2"
"383","TraesCS1A02G067800","ME113","lightsteelblue1"
"384","TraesCS1A02G067900","ME49","green4"
"385","TraesCS1A02G068000","ME69","darkolivegreen"
"386","TraesCS1A02G068100","ME76","darkred"
"387","TraesCS1A02G068200","ME58","mediumorchid4"
"388","TraesCS1A02G068300","ME64","magenta3"
"389","TraesCS1A02G068400","ME35","brown"
"390","TraesCS1A02G068500","ME70","brown"
"391","TraesCS1A02G069100","ME29","brown"
"392","TraesCS1A02G069300","ME157","green3"
"393","TraesCS1A02G069400","ME21","brown"
"394","TraesCS1A02G069500","ME73","brown"
"395","TraesCS1A02G069600","ME57","antiquewhite4"
"396","TraesCS1A02G069700","ME181","lightpink2"
"397","TraesCS1A02G069800","ME34","brown"
"398","TraesCS1A02G069900","ME56","antiquewhite4"
"399","TraesCS1A02G070100","ME179","plum4"
"400","TraesCS1A02G070200","ME5","orange"
"401","TraesCS1A02G070300","ME120","coral3"
"402","TraesCS1A02G070400","ME178","brown"
"403","TraesCS1A02G070500","ME90","darkorange2"
"404","TraesCS1A02G070600","ME101","brown"
"405","TraesCS1A02G070700","ME39","salmon"
"406","TraesCS1A02G070800","ME149","paleturquoise"
"407","TraesCS1A02G070900","ME53","brown"
"408","TraesCS1A02G071100","ME55","royalblue3"
"409","TraesCS1A02G071300","ME45","antiquewhite4"
"410","TraesCS1A02G071400","ME14","lightpink2"
"411","TraesCS1A02G071500","ME107","brown"
"412","TraesCS1A02G071600","ME162","darkorange2"
"413","TraesCS1A02G071657","ME17","aliceblue"
"414","TraesCS1A02G071700","ME78","brown"
"415","TraesCS1A02G071800","ME13","brown"
"416","TraesCS1A02G072000","ME43","cyan"
"417","TraesCS1A02G072100","ME48","darkred"
"418","TraesCS1A02G072200","ME129","cyan"
"419","TraesCS1A02G072600","ME25","brown"
"420","TraesCS1A02G072982","ME37","brown"
"421","TraesCS1A02G072986","ME65","grey60"
"422","TraesCS1A02G073000","ME12","darkred"
"423","TraesCS1A02G073100","ME77","antiquewhite4"
"424","TraesCS1A02G073200","ME1","brown"
"425","TraesCS1A02G073300","ME82","antiquewhite4"
"426","TraesCS1A02G073400","ME20","firebrick4"
"427","TraesCS1A02G073500","ME150","antiquewhite4"
"428","TraesCS1A02G073600","ME50","darkseagreen"
"429","TraesCS1A02G073800","ME68","aliceblue"
"430","TraesCS1A02G073900","ME97","cyan"
"431","TraesCS1A02G074000","ME163","darkred"
"432","TraesCS1A02G074400","ME31","firebrick4"
"433","TraesCS1A02G074800","ME119","antiquewhite4"
"434","TraesCS1A02G074900","ME27","antiquewhite4"
"435","TraesCS1A02G075000","ME167","darkred"
"436","TraesCS1A02G075100","ME100","brown"
"437","TraesCS1A02G075200","ME139","brown"
"438","TraesCS1A02G075300","ME96","brown"
"439","TraesCS1A02G075400","ME103","brown"
"440","TraesCS1A02G075500","ME122","antiquewhite4"
"441","TraesCS1A02G075600","ME32","firebrick4"
"442","TraesCS1A02G075700","ME91","antiquewhite4"
"443","TraesCS1A02G075800","ME140","brown"
"444","TraesCS1A02G075900","ME165","grey60"
"445","TraesCS1A02G076000","ME81","grey60"
"446","TraesCS1A02G076100","ME121","magenta3"
"447","TraesCS1A02G076200","ME42","darkred"
"448","TraesCS1A02G076400","ME125","brown"
"449","TraesCS1A02G076500","ME19","brown"
"450","TraesCS1A02G076700","ME111","maroon"
"451","TraesCS1A02G076800","ME15","darkred"
"452","TraesCS1A02G076900","ME133","firebrick4"
"453","TraesCS1A02G077100","ME177","firebrick4"
"454","TraesCS1A02G077200","ME47","lightpink4"
"455","TraesCS1A02G077400","ME28","lightsteelblue1"
"456","TraesCS1A02G077500","ME156","plum3"
"457","TraesCS1A02G077600","ME51","green3"
"458","TraesCS1A02G077700","ME113","antiquewhite4"
"459","TraesCS1A02G077900","ME49","darkseagreen"
"460","TraesCS1A02G078200","ME69","green3"
"461","TraesCS1A02G078300","ME76","orange"
"462","TraesCS1A02G078700","ME58","brown"
"463","TraesCS1A02G078800","ME64","darkred"
"464","TraesCS1A02G078900","ME35","darkslateblue"
"465","TraesCS1A02G079600","ME70","orange"
"466","TraesCS1A02G079700","ME29","antiquewhite4"
"467","TraesCS1A02G079800","ME157","firebrick4"
"468","TraesCS1A02G079900","ME21","lightsteelblue1"
"469","TraesCS1A02G080000","ME73","lavenderblush3"
"470","TraesCS1A02G080100","ME57","lavenderblush3"
"471","TraesCS1A02G080200","ME181","brown"
"472","TraesCS1A02G080300","ME34","pink4"
"473","TraesCS1A02G080500","ME56","firebrick4"
"474","TraesCS1A02G080600","ME179","firebrick4"
"475","TraesCS1A02G080700","ME5","firebrick4"
"476","TraesCS1A02G081100","ME120","antiquewhite4"
"477","TraesCS1A02G081200","ME178","coral3"
"478","TraesCS1A02G081300","ME90","brown"
"479","TraesCS1A02G081400","ME101","brown"
"480","TraesCS1A02G081700","ME39","maroon"
"481","TraesCS1A02G082000","ME149","antiquewhite4"
"482","TraesCS1A02G082100","ME53","antiquewhite4"
"483","TraesCS1A02G082200","ME55","brown"
"484","TraesCS1A02G082500","ME45","brown"
"485","TraesCS1A02G082600","ME14","darkred"
"486","TraesCS1A02G082700","ME107","darkred"
"487","TraesCS1A02G082800","ME162","lightpink2"
"488","TraesCS1A02G082900","ME17","darkslateblue"
"489","TraesCS1A02G083000","ME78","ivory"
"490","TraesCS1A02G083300","ME13","antiquewhite4"
"491","TraesCS1A02G083400","ME43","darkred"
"492","TraesCS1A02G083500","ME48","cyan"
"493","TraesCS1A02G083900","ME129","antiquewhite4"
"494","TraesCS1A02G084000","ME25","brown"
"495","TraesCS1A02G084100","ME37","brown"
"496","TraesCS1A02G084200","ME65","orange"
"497","TraesCS1A02G084300","ME12","antiquewhite4"
"498","TraesCS1A02G084400","ME77","darkseagreen"
"499","TraesCS1A02G084500","ME1","brown"
"500","TraesCS1A02G084600","ME82","darkred"
"501","TraesCS1A02G084800","ME20","brown"
"502","TraesCS1A02G084900","ME150","cyan"
"503","TraesCS1A02G085000","ME50","brown"
"504","TraesCS1A02G085300","ME68","brown"
"505","TraesCS1A02G085400","ME97","firebrick2"
"506","TraesCS1A02G085500","ME163","antiquewhite4"
"507","TraesCS1A02G085600","ME31","plum2"
"508","TraesCS1A02G085700","ME119","orange"
"509","TraesCS1A02G085800","ME27","ivory"
"510","TraesCS1A02G085900","ME167","brown"
"511","TraesCS1A02G086100","ME100","darkviolet"
"512","TraesCS1A02G086200","ME139","brown"
"513","TraesCS1A02G086500","ME96","ivory"
"514","TraesCS1A02G086600","ME103","lightpink2"
"515","TraesCS1A02G086700","ME122","green3"
"516","TraesCS1A02G086800","ME32","lightpink2"
"517","TraesCS1A02G086900","ME91","brown"
"518","TraesCS1A02G087000","ME140","pink3"
"519","TraesCS1A02G087100","ME165","plum2"
"520","TraesCS1A02G087300","ME81","green3"
"521","TraesCS1A02G087400","ME121","darkred"
"522","TraesCS1A02G087500","ME42","brown"
"523","TraesCS1A02G087600","ME125","brown"
"524","TraesCS1A02G087700","ME19","salmon"
"525","TraesCS1A02G087900","ME111","antiquewhite4"
"526","TraesCS1A02G088000","ME15","antiquewhite4"
"527","TraesCS1A02G088100","ME133","orange"
"528","TraesCS1A02G088200","ME177","tan"
"529","TraesCS1A02G088600","ME47","sienna3"
"530","TraesCS1A02G088800","ME28","antiquewhite4"
"531","TraesCS1A02G088900","ME156","antiquewhite4"
"532","TraesCS1A02G089100","ME51","antiquewhite4"
"533","TraesCS1A02G089200","ME113","royalblue"
"534","TraesCS1A02G089300","ME49","antiquewhite4"
"535","TraesCS1A02G089400","ME69","deeppink"
"536","TraesCS1A02G089500","ME76","brown"
"537","TraesCS1A02G089600","ME58","brown"
"538","TraesCS1A02G089800","ME64","darkred"
"539","TraesCS1A02G089900","ME35","mistyrose"
"540","TraesCS1A02G090000","ME70","antiquewhite4"
"541","TraesCS1A02G090100","ME29","brown"
"542","TraesCS1A02G090300","ME157","aliceblue"
"543","TraesCS1A02G090400","ME21","antiquewhite4"
"544","TraesCS1A02G090500","ME73","orange"
"545","TraesCS1A02G090600","ME57","firebrick4"
"546","TraesCS1A02G090700","ME181","plum3"
"547","TraesCS1A02G091000","ME34","antiquewhite4"
"548","TraesCS1A02G091100","ME56","darkolivegreen"
"549","TraesCS1A02G091200","ME179","darkred"
"550","TraesCS1A02G091300","ME5","darkred"
"551","TraesCS1A02G091400","ME120","antiquewhite4"
"552","TraesCS1A02G091500","ME178","ivory"
"553","TraesCS1A02G091600","ME90","brown"
"554","TraesCS1A02G091700","ME101","brown"
"555","TraesCS1A02G092300","ME39","lightsteelblue"
