"seqname","source","feature","start","end","score","strand","frame","attribute","gene_id","description","go_term"
"chr1D","IWGSC_v1.1_201706","gene",2684225,2687390,".","+",".","ID=TraesCS1D02G005900;name=BST_pseudo_chr1D_nlr_2;manually_curated=yes;derived_from=TraesCS1D01G005900,BST_pseudo_chr1D_nlr_2;curating_team=IWGSC_appelsr;last_modification=2017-01-25T17:43:15;Name=TraesCS1D02G005900","TraesCS1D02G005900","","ADP binding"
"chr1D","IWGSC_v1.1_201706","gene",2716787,2720977,".","+",".","ID=TraesCS1D02G006000;name=BST_chr1D_nlr_3;manually_curated=yes;derived_from=TraesCS1D01G006000,BST_chr1D_nlr_3;curating_team=IWGSC_appelsr;last_modification=2017-03-06T15:40:46;Name=TraesCS1D02G006000","TraesCS1D02G006000","","defense response; ADP binding"
"chr1D","IWGSC_v1.1_201706","gene",2771193,2772067,"50","+",".","ID=TraesCS1D02G006100;previous_id=TraesCS1D01G006100;primconf=HC;Name=TraesCS1D02G006100","TraesCS1D02G006100","",""
"chr1D","IWGSC_v1.1_201706","gene",2885245,2888849,".","-",".","ID=TraesCS1D02G006300;name=BST_pseudo_chr1D_nlr_129;manually_curated=yes;derived_from=TraesCS1D01G006300,BST_pseudo_chr1D_nlr_129;curating_team=IWGSC_appelsr;last_modification=2017-03-02T14:52:41;Name=TraesCS1D02G006300","TraesCS1D02G006300","","defense response; ADP binding"
"chr1D","IWGSC_v1.1_201706","gene",3115248,3116541,"43","+",".","ID=TraesCS1D02G006400;previous_id=TraesCS1D01G006400;primconf=HC;Name=TraesCS1D02G006400","TraesCS1D02G006400","Dirigent protein [Source:UniProtKB/TrEMBL;Acc:A0A1D6RGP4]","apoplast"
"chr1D","IWGSC_v1.1_201706","gene",3148456,3150326,".","+",".","ID=TraesCS1D02G006464;name=BST_pseudo_chr1D_nlr_4;manually_curated=yes;derived_from=BST_pseudo_chr1D_nlr_4;curating_team=IWGSC_steuernb;last_modification=2017-01-31T09:13:55;Name=TraesCS1D02G006464","TraesCS1D02G006464","","defense response; ADP binding; response to other organism"
"chr1D","IWGSC_v1.1_201706","gene",3175880,3181010,".","+",".","ID=TraesCS1D02G006500;name=BST_chr1D_nlr_5;manually_curated=yes;derived_from=TraesCS1D01G006500,BST_chr1D_nlr_5;curating_team=IWGSC_appelsr;last_modification=2017-01-26T09:11:37;Name=TraesCS1D02G006500","TraesCS1D02G006500","","defense response; ADP binding"
"chr1D","IWGSC_v1.1_201706","gene",3228024,3229285,"39","+",".","ID=TraesCS1D02G006600;previous_id=TraesCS1D01G006600;primconf=HC;Name=TraesCS1D02G006600","TraesCS1D02G006600","Dirigent protein [Source:UniProtKB/TrEMBL;Acc:A0A341PAT8]","carbohydrate binding"
"chr1D","IWGSC_v1.1_201706","gene",3425239,3429946,".","-",".","ID=TraesCS1D02G006800;name=BST_chr1D_nlr_128;manually_curated=yes;derived_from=TraesCS1D01G006800,BST_chr1D_nlr_128;curating_team=IWGSC_appelsr;last_modification=2017-01-26T09:20:03;Name=TraesCS1D02G006800","TraesCS1D02G006800","","defense response; ADP binding"
"chr1D","IWGSC_v1.1_201706","gene",3452151,3452582,"31","+",".","ID=TraesCS1D02G006900;previous_id=TraesCS1D01G006900;primconf=HC;Name=TraesCS1D02G006900","TraesCS1D02G006900","",""
"chr1D","IWGSC_v1.1_201706","gene",3465922,3466534,"41","+",".","ID=TraesCS1D02G007000;previous_id=TraesCS1D01G007000;primconf=HC;Name=TraesCS1D02G007000","TraesCS1D02G007000","",""
"chr1D","IWGSC_v1.1_201706","gene",3471316,3473598,"50","-",".","ID=TraesCS1D02G007100;previous_id=TraesCS1D01G007100;primconf=HC;Name=TraesCS1D02G007100","TraesCS1D02G007100","","oxidoreductase activity; iron ion binding; lipid biosynthetic process"
"chr1D","IWGSC_v1.1_201706","gene",3520304,3521543,".","+",".","ID=TraesCS1D02G007153;name=BST_pseudo_chr1D_nlr_6;manually_curated=yes;derived_from=BST_pseudo_chr1D_nlr_6;curating_team=IWGSC_appelsr;last_modification=2017-01-26T09:22:15;Name=TraesCS1D02G007153","TraesCS1D02G007153","",""
"chr1D","IWGSC_v1.1_201706","gene",3581360,3582585,"43","-",".","ID=TraesCS1D02G007200;previous_id=TraesCS1D01G007200;primconf=HC;Name=TraesCS1D02G007200","TraesCS1D02G007200","Dirigent protein [Source:UniProtKB/TrEMBL;Acc:A0A1D5T1B3]","apoplast"
"chr1D","IWGSC_v1.1_201706","gene",3614575,3616104,"52","+",".","ID=TraesCS1D02G007300;previous_id=TraesCS1D01G007300;primconf=HC;Name=TraesCS1D02G007300","TraesCS1D02G007300","Dirigent protein [Source:UniProtKB/TrEMBL;Acc:A0A1D5T1B2]","carbohydrate binding; apoplast"
"chr1D","IWGSC_v1.1_201706","gene",3709621,3710520,".","-",".","ID=TraesCS1D02G007400;manually_curated=yes;derived_from=TraesCS1D01G007400,chr1D.gene15;curating_team=IWGSC_appelsr;Note=TRIAE_CS42_1DS_TGACv1_080245_AA0244130.1%2Cceliac disease associated;Name=TraesCS1D02G007400","TraesCS1D02G007400","",""
"chr1D","IWGSC_v1.1_201706","gene",3736809,3738114,"43","-",".","ID=TraesCS1D02G007500;previous_id=TraesCS1D01G007500;primconf=HC;Name=TraesCS1D02G007500","TraesCS1D02G007500","Dirigent protein [Source:UniProtKB/TrEMBL;Acc:A0A1D5T1T2]","apoplast"
"chr1D","IWGSC_v1.1_201706","gene",3801946,3802203,"35","+",".","ID=TraesCS1D02G007600;previous_id=TraesCS1D01G007600;primconf=HC;Name=TraesCS1D02G007600","TraesCS1D02G007600","",""
"chr1D","IWGSC_v1.1_201706","gene",3825395,3826297,".","-",".","ID=TraesCS1D02G007626;manually_curated=yes;derived_from=chr1D.gene16;curating_team=IWGSC_appelsr;Note=pseudo%2CTRIAE_Pseudogene_12%2Cceliac disease associated;Name=TraesCS1D02G007626","TraesCS1D02G007626","",""
"chr1D","IWGSC_v1.1_201706","gene",3954518,3958741,"62","+",".","ID=TraesCS1D02G007700;previous_id=TraesCS1D01G007700;primconf=HC;Name=TraesCS1D02G007700","TraesCS1D02G007700","",""
"chr1D","IWGSC_v1.1_201706","gene",3961361,3965346,"46","+",".","ID=TraesCS1D02G007800;previous_id=TraesCS1D01G007800;primconf=HC;Name=TraesCS1D02G007800","TraesCS1D02G007800","","protein binding"
"chr1D","IWGSC_v1.1_201706","gene",3966078,3969751,"48","+",".","ID=TraesCS1D02G007900;previous_id=TraesCS1D01G007900;primconf=HC;Name=TraesCS1D02G007900","TraesCS1D02G007900","",""
"chr1D","IWGSC_v1.1_201706","gene",3970383,3975703,".","-",".","ID=TraesCS1D02G008000;name=BST_chr1D_nlr_127;manually_curated=yes;derived_from=TraesCS1D01G008000,BST_chr1D_nlr_127;curating_team=IWGSC_appelsr;last_modification=2017-01-26T11:40:20;Name=TraesCS1D02G008000","TraesCS1D02G008000","","defense response; ADP binding; response to other organism"
"chr1D","IWGSC_v1.1_201706","gene",4081074,4082357,"33","-",".","ID=TraesCS1D02G008100;previous_id=TraesCS1D01G008100;primconf=HC;Name=TraesCS1D02G008100","TraesCS1D02G008100","",""
"chr1D","IWGSC_v1.1_201706","gene",4179395,4188321,"35","-",".","ID=TraesCS1D02G008200;previous_id=TraesCS1D01G008200;primconf=HC;Name=TraesCS1D02G008200","TraesCS1D02G008200","","defense response; ADP binding"
"chr1D","IWGSC_v1.1_201706","gene",4188993,4194729,".","+",".","ID=TraesCS1D02G008300;name=BST_chr1D_nlr_7;manually_curated=yes;derived_from=TraesCS1D01G008300,BST_chr1D_nlr_7;curating_team=IWGSC_appelsr;last_modification=2017-01-26T11:47:47;Name=TraesCS1D02G008300","TraesCS1D02G008300","","defense response; ADP binding"
"chr1D","IWGSC_v1.1_201706","gene",4234991,4235872,"30","-",".","ID=TraesCS1D02G008400;previous_id=TraesCS1D01G008400;primconf=HC;Name=TraesCS1D02G008400","TraesCS1D02G008400","",""
"chr1D","IWGSC_v1.1_201706","gene",4279561,4280651,".","-",".","ID=TraesCS1D02G008472;name=BST_Pseudo_chr1D_nlr_125;manually_curated=yes;derived_from=BST_Pseudo_chr1D_nlr_125;curating_team=IWGSC_appelsr;last_modification=2017-01-26T11:50:57;Name=TraesCS1D02G008472","TraesCS1D02G008472","",""
"chr1D","IWGSC_v1.1_201706","gene",4306735,4307737,"29","-",".","ID=TraesCS1D02G008500;previous_id=TraesCS1D01G008500;primconf=HC;Name=TraesCS1D02G008500","TraesCS1D02G008500","",""
