"Description","Level","ModuleColor","Count","pvalue","geneID"
"Plant reproduction","level1","grey60",8,0.0438160578563845,"TraesCS2A02G272900/TraesCS3B02G162000/TraesCS3B02G278000/TraesCS4D02G209400/TraesCS4D02G245200/TraesCS5B02G396600/TraesCS6A02G214400/TraesCS7D02G380300"
"Plant reproduction","level1","ivory",12,0.0150045932326794,"TraesCS2A02G488000/TraesCS4B02G069700/TraesCS5A02G154600/TraesCS5A02G162800/TraesCS5B02G127600/TraesCS5B02G152800/TraesCS6B02G183500/TraesCS7A02G309300/TraesCS7A02G497200/TraesCS7B02G013100/TraesCS7B02G196900/TraesCS7B02G400600"
"DNA damage response","level1","lightblue4",4,0.0203484967653586,"TraesCS2A02G551200/TraesCS2D02G022800/TraesCS6D02G196000/TraesCS7B02G115400"
"Polyamine metabolism","level1","lightpink2",6,0.0024776149772329,"TraesCS2D02G034900/TraesCS5B02G019600/TraesCS5B02G022300/TraesCS5B02G336200/TraesCS5D02G342000/TraesCS7B02G163500"
"DNA damage response","level1","lightskyblue3",4,0.000258351145612737,"TraesCS3B02G346600/TraesCS5A02G162400/TraesCS5B02G159900/TraesCS5D02G166500"
"Nucleotide metabolism","level1","lightsteelblue1",10,0.00456260744824649,"TraesCS1B02G441900/TraesCS2A02G036500/TraesCS4A02G127400/TraesCS4B02G167100/TraesCS5A02G285300/TraesCS5B02G121700/TraesCS5D02G104600/TraesCS5D02G124500/TraesCS6A02G047100/TraesCS7B02G031500"
"Plant reproduction","level1","magenta1",3,0.0574962782246936,"TraesCS2B02G425100/TraesCS5D02G136300/TraesCS7B02G145800"
"Polyamine metabolism","level1","mediumorchid4",1,0.0747202080710407,"TraesCS4A02G337300"
"Nucleotide metabolism","level1","orange",13,0.0164409341604512,"TraesCS1B02G263600/TraesCS1D02G254100/TraesCS2A02G236200/TraesCS3D02G327500/TraesCS4A02G015900/TraesCS4A02G104800/TraesCS4A02G213400/TraesCS4D02G098900/TraesCS4D02G200200/TraesCS4D02G286900/TraesCS7A02G481500/TraesCS7B02G383900/TraesCS7D02G468600"
"Polyamine metabolism","level1","paleturquoise4",2,0.0134094617876663,"TraesCS2B02G579100/TraesCS5B02G536900"
"Plant reproduction","level1","salmon2",4,0.0216418006478276,"TraesCS2B02G365300/TraesCS5D02G167800/TraesCS5D02G308200/TraesCS6A02G166800"
"Plant reproduction","level1","skyblue",8,0.00181645522859074,"TraesCS1D02G119800/TraesCS2A02G331200/TraesCS2B02G237300/TraesCS2D02G396000/TraesCS5A02G162200/TraesCS5D02G166700/TraesCS6B02G193600/TraesCS6B02G265400"
"temperature","level2","antiquewhite",1,0.0348709145697799,"TraesCS4A02G322300"
"RNA export","level2","antiquewhite",1,0.0481389837443497,"TraesCS6A02G332800"
"mRNA silencing","level2","antiquewhite",1,0.0758624202765977,"TraesCS2D02G053900"
"meiotic recombination","level2","antiquewhite2",4,0.00163892989548517,"TraesCS2B02G041500/TraesCS2D02G286100/TraesCS3B02G115500/TraesCS7B02G132300"
"calvin cycle","level2","antiquewhite4",75,6.16605840074546e-26,"TraesCS1A02G133500/TraesCS1A02G142000/TraesCS1A02G214600/TraesCS1A02G313300/TraesCS1B02G159700/TraesCS1B02G228500/TraesCS1D02G141100/TraesCS1D02G217600/TraesCS2A02G066700/TraesCS2A02G066800/TraesCS2A02G066900/TraesCS2A02G067000/TraesCS2A02G067100/TraesCS2A02G234900/TraesCS2A02G311700/TraesCS2A02G344600/TraesCS2B02G079100/TraesCS2B02G079400/TraesCS2B02G079500/TraesCS2B02G226100/TraesCS2B02G342200/TraesCS2D02G049500/TraesCS2D02G065100/TraesCS2D02G065200/TraesCS2D02G065300/TraesCS2D02G065400/TraesCS2D02G065600/TraesCS2D02G073900/TraesCS2D02G206500/TraesCS2D02G322900/TraesCS3A02G367000/TraesCS3B02G398300/TraesCS3D02G359900/TraesCS4A02G019100/TraesCS4A02G093100/TraesCS4A02G120600/TraesCS4A02G452700/TraesCS4D02G185400/TraesCS4D02G212000/TraesCS4D02G283800/TraesCS4D02G319400/TraesCS5A02G165400/TraesCS5A02G165700/TraesCS5A02G212500/TraesCS5A02G229500/TraesCS5A02G545700/TraesCS5B02G162600/TraesCS5B02G162800/TraesCS5B02G211200/TraesCS5B02G228300/TraesCS5D02G169600/TraesCS5D02G169900/TraesCS5D02G219500/TraesCS5D02G238000/TraesCS5D02G376000/TraesCS6A02G267300/TraesCS6A02G286800/TraesCS6A02G340300/TraesCS6B02G084400/TraesCS6B02G315800/TraesCS6B02G371500/TraesCS6D02G061600/TraesCS6D02G267500/TraesCS6D02G320800/TraesCS7A02G036200/TraesCS7A02G071100/TraesCS7A02G335600/TraesCS7A02G341000/TraesCS7B02G066000/TraesCS7B02G242200/TraesCS7B02G247200/TraesCS7D02G066500/TraesCS7D02G162300/TraesCS7D02G338600/TraesCS7D02G343300"
"tetrapyrrole biosynthesis","level2","antiquewhite4",36,3.72079918097909e-14,"TraesCS1A02G057200/TraesCS1A02G173100/TraesCS1A02G378600/TraesCS1B02G075200/TraesCS1B02G191200/TraesCS1D02G058300/TraesCS1D02G165600/TraesCS1D02G385500/TraesCS2A02G426900/TraesCS2D02G425000/TraesCS3A02G224800/TraesCS3B02G254400/TraesCS3D02G228800/TraesCS4A02G002800/TraesCS4D02G170800/TraesCS5A02G175200/TraesCS5B02G049800/TraesCS5B02G068700/TraesCS5B02G172900/TraesCS5D02G055700/TraesCS5D02G179900/TraesCS6A02G143300/TraesCS6B02G136500/TraesCS6B02G171600/TraesCS6B02G243500/TraesCS6D02G068300/TraesCS6D02G132500/TraesCS6D02G196100/TraesCS7A02G260800/TraesCS7A02G282400/TraesCS7A02G415000/TraesCS7B02G158800/TraesCS7B02G314800/TraesCS7D02G261800/TraesCS7D02G281200/TraesCS7D02G408000"
"aminoacyl-tRNA synthetase activities","level2","antiquewhite4",78,4.37118582554468e-14,"TraesCS1A02G102600/TraesCS1A02G151500/TraesCS1B02G113400/TraesCS1B02G169100/TraesCS1D02G094600/TraesCS1D02G111300/TraesCS1D02G148500/TraesCS2A02G231500/TraesCS2A02G246200/TraesCS2A02G246900/TraesCS2A02G262700/TraesCS2A02G288100/TraesCS2A02G520300/TraesCS2A02G530800/TraesCS2B02G174100/TraesCS2B02G263300/TraesCS2B02G270500/TraesCS2B02G279400/TraesCS2B02G549500/TraesCS2B02G560200/TraesCS2D02G154000/TraesCS2D02G235900/TraesCS2D02G248600/TraesCS2D02G249200/TraesCS2D02G261300/TraesCS2D02G354400/TraesCS2D02G521500/TraesCS2D02G532700/TraesCS3A02G089000/TraesCS3A02G120200/TraesCS3A02G163300/TraesCS3A02G186200/TraesCS3B02G080400/TraesCS3B02G104400/TraesCS3B02G132300/TraesCS3B02G139700/TraesCS3B02G309400/TraesCS3D02G066900/TraesCS3D02G136300/TraesCS3D02G337700/TraesCS4A02G051900/TraesCS4A02G494400/TraesCS4D02G055000/TraesCS4D02G252700/TraesCS4D02G261400/TraesCS4D02G305700/TraesCS5A02G096700/TraesCS5A02G160100/TraesCS5A02G357400/TraesCS5A02G442200/TraesCS5B02G053100/TraesCS5B02G359900/TraesCS5B02G372900/TraesCS5B02G446300/TraesCS5D02G048600/TraesCS5D02G081600/TraesCS5D02G109400/TraesCS5D02G165200/TraesCS5D02G366500/TraesCS5D02G380100/TraesCS6B02G130900/TraesCS6B02G204800/TraesCS6B02G256400/TraesCS6B02G310700/TraesCS6D02G068300/TraesCS6D02G091100/TraesCS6D02G210000/TraesCS6D02G313600/TraesCS7A02G264300/TraesCS7A02G516000/TraesCS7B02G162300/TraesCS7B02G301400/TraesCS7B02G392800/TraesCS7B02G432400/TraesCS7D02G260000/TraesCS7D02G265200/TraesCS7D02G476100/TraesCS7D02G506300"
"chloroplast","level2","antiquewhite4",59,5.92366865407968e-14,"TraesCS1A02G093900/TraesCS1A02G165700/TraesCS1A02G248600/TraesCS1A02G348500/TraesCS1B02G122000/TraesCS1D02G102500/TraesCS1D02G175000/TraesCS1D02G211300/TraesCS2A02G199800/TraesCS2A02G221000/TraesCS2A02G272500/TraesCS2A02G338900/TraesCS2B02G227100/TraesCS2B02G290700/TraesCS2B02G325100/TraesCS2D02G207600/TraesCS2D02G226700/TraesCS2D02G271800/TraesCS3A02G193600/TraesCS3A02G498300/TraesCS3B02G224200/TraesCS3D02G120800/TraesCS3D02G290500/TraesCS4A02G044200/TraesCS4A02G072800/TraesCS4A02G095300/TraesCS4A02G197600/TraesCS4A02G197700/TraesCS4A02G270900/TraesCS4A02G410300/TraesCS4B02G117800/TraesCS4D02G115500/TraesCS4D02G115600/TraesCS4D02G209900/TraesCS4D02G230000/TraesCS4D02G308300/TraesCS4D02G323400/TraesCS5A02G112900/TraesCS5A02G269800/TraesCS5B02G232300/TraesCS5B02G270200/TraesCS5B02G296200/TraesCS5B02G381600/TraesCS5D02G120200/TraesCS5D02G164800/TraesCS5D02G277900/TraesCS5D02G304000/TraesCS5D02G388000/TraesCS6A02G147700/TraesCS6B02G175800/TraesCS6B02G252100/TraesCS6D02G137000/TraesCS6D02G153700/TraesCS6D02G205400/TraesCS7A02G342800/TraesCS7B02G164200/TraesCS7B02G240200/TraesCS7D02G266800/TraesCS7D02G336600"
"EC_6 ligases","level2","antiquewhite4",96,1.52990350607054e-10,"TraesCS1A02G102600/TraesCS1A02G152900/TraesCS1A02G173700/TraesCS1A02G246600/TraesCS1A02G382800/TraesCS1A02G422100/TraesCS1B02G113400/TraesCS1B02G257300/TraesCS1D02G077600/TraesCS1D02G094600/TraesCS1D02G111300/TraesCS1D02G149900/TraesCS1D02G245900/TraesCS1D02G390500/TraesCS1D02G419400/TraesCS2A02G187300/TraesCS2A02G187700/TraesCS2A02G231500/TraesCS2A02G246900/TraesCS2A02G288100/TraesCS2A02G500400/TraesCS2B02G174100/TraesCS2B02G220000/TraesCS2B02G263300/TraesCS2B02G303300/TraesCS2D02G154000/TraesCS2D02G200100/TraesCS2D02G235900/TraesCS2D02G249200/TraesCS2D02G301100/TraesCS2D02G354400/TraesCS3A02G120200/TraesCS3A02G163300/TraesCS3B02G080400/TraesCS3B02G132300/TraesCS3B02G139700/TraesCS3D02G066900/TraesCS3D02G076500/TraesCS3D02G136300/TraesCS3D02G231000/TraesCS4A02G276300/TraesCS4A02G354500/TraesCS4A02G413900/TraesCS4B02G047400/TraesCS4D02G055000/TraesCS4D02G261400/TraesCS4D02G305700/TraesCS4D02G311700/TraesCS5A02G133200/TraesCS5A02G148700/TraesCS5A02G160100/TraesCS5A02G169600/TraesCS5A02G232800/TraesCS5A02G247400/TraesCS5A02G357400/TraesCS5A02G442200/TraesCS5A02G466100/TraesCS5B02G053100/TraesCS5B02G166400/TraesCS5B02G231100/TraesCS5B02G359900/TraesCS5B02G446300/TraesCS5B02G517900/TraesCS5D02G048600/TraesCS5D02G081600/TraesCS5D02G129800/TraesCS5D02G165200/TraesCS5D02G174000/TraesCS5D02G235400/TraesCS5D02G366500/TraesCS5D02G420300/TraesCS5D02G478900/TraesCS6A02G266700/TraesCS6B02G204800/TraesCS6B02G310700/TraesCS6D02G054300/TraesCS6D02G068300/TraesCS6D02G313600/TraesCS7A02G115900/TraesCS7A02G264300/TraesCS7A02G480700/TraesCS7A02G516000/TraesCS7A02G521200/TraesCS7B02G162300/TraesCS7B02G301400/TraesCS7B02G341200/TraesCS7B02G382800/TraesCS7B02G392800/TraesCS7B02G432400/TraesCS7B02G438000/TraesCS7B02G441300/TraesCS7D02G260000/TraesCS7D02G265200/TraesCS7D02G467500/TraesCS7D02G476100/TraesCS7D02G506300"
"purines","level2","antiquewhite4",66,3.19275352792398e-09,"TraesCS1A02G059200/TraesCS1A02G152900/TraesCS1A02G269300/TraesCS1A02G288300/TraesCS1A02G288900/TraesCS1A02G360400/TraesCS1B02G140200/TraesCS1B02G266800/TraesCS1B02G297700/TraesCS1D02G060600/TraesCS1D02G149900/TraesCS1D02G254000/TraesCS1D02G269400/TraesCS1D02G287300/TraesCS1D02G287900/TraesCS2A02G127500/TraesCS2A02G207500/TraesCS2A02G548300/TraesCS2B02G149500/TraesCS2B02G259600/TraesCS2B02G303300/TraesCS2B02G579200/TraesCS2D02G129900/TraesCS2D02G565300/TraesCS3A02G312300/TraesCS3A02G383500/TraesCS3A02G459600/TraesCS3B02G159900/TraesCS3B02G499300/TraesCS3D02G376600/TraesCS4A02G124000/TraesCS4A02G276300/TraesCS4A02G358800/TraesCS4A02G364400/TraesCS4A02G413900/TraesCS4B02G038800/TraesCS4B02G180400/TraesCS4B02G363700/TraesCS4D02G179000/TraesCS4D02G181900/TraesCS4D02G311700/TraesCS4D02G357100/TraesCS5A02G057700/TraesCS5A02G247400/TraesCS5A02G416300/TraesCS5A02G496900/TraesCS5A02G547700/TraesCS5B02G413100/TraesCS5B02G509100/TraesCS5B02G513200/TraesCS5D02G424000/TraesCS5D02G509100/TraesCS5D02G513700/TraesCS6A02G105900/TraesCS6A02G230100/TraesCS6B02G251600/TraesCS6D02G054300/TraesCS6D02G094400/TraesCS6D02G204800/TraesCS7A02G322100/TraesCS7B02G004400/TraesCS7B02G178800/TraesCS7B02G216500/TraesCS7B02G441300/TraesCS7D02G241400/TraesCS7D02G280900"
"protein folding","level2","antiquewhite4",43,2.17382321812865e-08,"TraesCS1A02G007500/TraesCS1B02G011100/TraesCS1D02G000800/TraesCS2A02G007900/TraesCS2A02G053200/TraesCS2A02G202300/TraesCS2A02G314800/TraesCS2B02G067100/TraesCS2B02G113300/TraesCS2B02G229400/TraesCS2B02G260600/TraesCS2B02G333300/TraesCS2D02G050300/TraesCS2D02G239700/TraesCS2D02G313000/TraesCS3A02G005900/TraesCS3A02G151100/TraesCS3B02G008100/TraesCS3D02G004600/TraesCS3D02G159000/TraesCS4D02G041200/TraesCS5A02G158900/TraesCS5A02G229400/TraesCS5A02G264500/TraesCS5D02G238100/TraesCS6A02G068900/TraesCS6A02G162000/TraesCS6A02G302500/TraesCS6B02G208900/TraesCS6B02G331700/TraesCS6D02G066700/TraesCS6D02G150200/TraesCS6D02G282000/TraesCS7A02G266500/TraesCS7A02G286700/TraesCS7A02G419600/TraesCS7B02G129300/TraesCS7B02G166000/TraesCS7B02G199200/TraesCS7D02G224400/TraesCS7D02G268300/TraesCS7D02G283600/TraesCS7D02G472600"
"plastid division","level2","antiquewhite4",33,3.3240723267337e-08,"TraesCS1A02G208400/TraesCS1B02G222400/TraesCS1B02G255100/TraesCS1D02G211600/TraesCS2A02G122000/TraesCS2A02G206800/TraesCS2A02G488400/TraesCS2B02G234000/TraesCS2D02G091400/TraesCS2D02G209100/TraesCS2D02G292200/TraesCS2D02G456100/TraesCS2D02G488700/TraesCS3A02G149100/TraesCS3A02G408300/TraesCS3D02G148400/TraesCS3D02G403400/TraesCS4A02G156900/TraesCS5A02G016000/TraesCS5A02G164700/TraesCS5A02G356200/TraesCS5B02G120600/TraesCS5B02G163300/TraesCS5B02G358700/TraesCS5D02G124800/TraesCS5D02G170500/TraesCS6A02G066200/TraesCS6A02G123900/TraesCS6D02G114200/TraesCS7A02G017400/TraesCS7A02G460600/TraesCS7D02G014700/TraesCS7D02G448500"
"chlorophyll metabolism","level2","antiquewhite4",48,1.15652005859142e-07,"TraesCS1A02G171000/TraesCS1A02G224700/TraesCS1A02G262100/TraesCS1B02G167800/TraesCS1B02G186300/TraesCS1B02G202900/TraesCS1B02G237700/TraesCS1B02G272700/TraesCS1D02G168700/TraesCS1D02G175800/TraesCS1D02G226100/TraesCS1D02G262100/TraesCS2A02G134000/TraesCS2A02G590600/TraesCS2B02G157600/TraesCS2B02G593000/TraesCS2D02G563600/TraesCS3A02G101900/TraesCS3A02G191700/TraesCS3A02G506200/TraesCS3B02G219700/TraesCS3D02G194300/TraesCS4A02G132200/TraesCS4A02G232400/TraesCS4A02G270700/TraesCS4D02G081500/TraesCS4D02G174500/TraesCS4D02G220700/TraesCS5A02G199900/TraesCS5A02G466100/TraesCS5A02G546500/TraesCS5B02G198200/TraesCS5D02G205500/TraesCS5D02G478900/TraesCS6A02G307700/TraesCS6A02G403800/TraesCS6B02G336300/TraesCS6D02G082300/TraesCS6D02G286900/TraesCS6D02G387300/TraesCS7A02G068500/TraesCS7A02G303700/TraesCS7A02G338900/TraesCS7A02G480700/TraesCS7B02G382800/TraesCS7D02G062900/TraesCS7D02G346100/TraesCS7D02G467500"
"autophagy","level2","antiquewhite4",43,1.22289853212674e-06,"TraesCS1A02G112700/TraesCS1A02G220200/TraesCS1A02G254200/TraesCS1B02G233500/TraesCS1B02G264000/TraesCS1D02G114300/TraesCS1D02G221700/TraesCS1D02G253700/TraesCS1D02G307400/TraesCS1D02G327700/TraesCS2A02G224000/TraesCS2A02G518700/TraesCS2B02G186500/TraesCS2B02G371600/TraesCS2D02G335900/TraesCS3A02G220600/TraesCS3A02G266600/TraesCS3A02G324900/TraesCS3A02G453200/TraesCS3B02G110900/TraesCS3B02G300100/TraesCS3D02G095500/TraesCS3D02G231900/TraesCS3D02G266800/TraesCS4A02G079800/TraesCS5A02G054400/TraesCS5A02G141000/TraesCS5A02G158000/TraesCS5A02G313200/TraesCS5B02G062000/TraesCS5D02G163400/TraesCS5D02G319900/TraesCS5D02G394200/TraesCS6A02G208300/TraesCS6A02G238900/TraesCS6A02G353600/TraesCS6A02G360100/TraesCS6B02G177000/TraesCS6D02G138400/TraesCS6D02G343100/TraesCS6D02G385400/TraesCS7A02G208300/TraesCS7B02G115500"
"DNA replication","level2","antiquewhite4",86,1.57995282623393e-06,"TraesCS1A02G260500/TraesCS1A02G280800/TraesCS1A02G299500/TraesCS1B02G102200/TraesCS1B02G377800/TraesCS1D02G287700/TraesCS2A02G283300/TraesCS2A02G362100/TraesCS2A02G387500/TraesCS2A02G401300/TraesCS2B02G094500/TraesCS2B02G109900/TraesCS2B02G348600/TraesCS2B02G556100/TraesCS2B02G570300/TraesCS2D02G077000/TraesCS2D02G093300/TraesCS2D02G329600/TraesCS2D02G359500/TraesCS2D02G361800/TraesCS2D02G528800/TraesCS2D02G541500/TraesCS3A02G138100/TraesCS3A02G184800/TraesCS3A02G185400/TraesCS3A02G231400/TraesCS3A02G385400/TraesCS3A02G394500/TraesCS3A02G488800/TraesCS3B02G214600/TraesCS3B02G215000/TraesCS3B02G260600/TraesCS3B02G417600/TraesCS3B02G419300/TraesCS3B02G426500/TraesCS3B02G439200/TraesCS3B02G448900/TraesCS3B02G533600/TraesCS3D02G178900/TraesCS3D02G184600/TraesCS3D02G188800/TraesCS3D02G189300/TraesCS3D02G222000/TraesCS3D02G265800/TraesCS3D02G308600/TraesCS3D02G319400/TraesCS3D02G378400/TraesCS3D02G388300/TraesCS3D02G481600/TraesCS4A02G077700/TraesCS4A02G189900/TraesCS4A02G395700/TraesCS4D02G078700/TraesCS4D02G208600/TraesCS5A02G378100/TraesCS5A02G467500/TraesCS5B02G094600/TraesCS5B02G119700/TraesCS5B02G196800/TraesCS5B02G479200/TraesCS5B02G513500/TraesCS5D02G100800/TraesCS5D02G128600/TraesCS5D02G386100/TraesCS5D02G388100/TraesCS5D02G480300/TraesCS5D02G514000/TraesCS5D02G544900/TraesCS6A02G268600/TraesCS6B02G353100/TraesCS6B02G411100/TraesCS6D02G121500/TraesCS6D02G302200/TraesCS6D02G315400/TraesCS6D02G378100/TraesCS7A02G095300/TraesCS7A02G151700/TraesCS7A02G466900/TraesCS7B02G005400/TraesCS7B02G119300/TraesCS7B02G368200/TraesCS7D02G091500/TraesCS7D02G100800/TraesCS7D02G178200/TraesCS7D02G383200/TraesCS7D02G454700"
"oxidative pentose phosphate pathway","level2","antiquewhite4",20,2.0503462504092e-06,"TraesCS2A02G175400/TraesCS2A02G234900/TraesCS2B02G080000/TraesCS2D02G073900/TraesCS2D02G238600/TraesCS2D02G271700/TraesCS4A02G126200/TraesCS4D02G180300/TraesCS5D02G322700/TraesCS6A02G146500/TraesCS6A02G211600/TraesCS6B02G084400/TraesCS6B02G174700/TraesCS6D02G061600/TraesCS6D02G135800/TraesCS6D02G195700/TraesCS7A02G071100/TraesCS7A02G270200/TraesCS7D02G066500/TraesCS7D02G270900"
