component *(D1/PsbA),TraesCS5D02G008300
component *(FtsH1/2/5/6/8),TraesCS7B02G373000
component *(FtsH1/2/5/6/8),TraesCS7D02G189400
component *(FtsH1/2/5/6/8),TraesCS7D02G458400
qE/qZ-type quenching,TraesCS7A02G315700
qE/qZ-type quenching,TraesCS7A02G501700
qE/qZ-type quenching,TraesCS7B02G216700
qE/qZ-type quenching,TraesCS7B02G409100
qE/qZ-type quenching,TraesCS7D02G312700
qE/qZ-type quenching,TraesCS7D02G312800
qE/qZ-type quenching,TraesCS7D02G489100
qE/qZ-type quenching,TraesCS7A02G286400
qE/qZ-type quenching,TraesCS7B02G196800
qE/qZ-type quenching,TraesCS7D02G283700
qE/qZ-type quenching,TraesCS5A02G174900
qE/qZ-type quenching,TraesCS5B02G174100
qE/qZ-type quenching,TraesCS5D02G181100
qH-type antenna quenching,TraesCS6B02G093300
regulatory factor *(RIQ),TraesCS5A02G081900
regulatory factor *(RIQ),TraesCS5B02G083300
regulatory factor *(RIQ),TraesCS5B02G084500
regulatory factor *(RIQ),TraesCS5D02G090700
regulatory factor *(CURT),TraesCS5A02G247100
regulatory factor *(CURT),TraesCS5B02G244200
regulatory factor *(CURT),TraesCS5D02G253600
regulatory factor *(CURT),TraesCS6A02G292800
regulatory factor *(CURT),TraesCS6A02G314600
regulatory factor *(CURT),TraesCS6B02G323200
regulatory factor *(CURT),TraesCS6B02G344600
regulatory factor *(CURT),TraesCS6D02G273900
regulatory factor *(CURT),TraesCS6D02G293900
regulatory factor *(CURT),TraesCS7A02G175800
regulatory factor *(CURT),TraesCS7A02G206700
regulatory factor *(CURT),TraesCS7B02G081000
regulatory factor *(CURT),TraesCS7B02G114100
regulatory factor *(CURT),TraesCS7D02G177200
regulatory factor *(CURT),TraesCS7D02G177300
regulatory factor *(CURT),TraesCS7D02G209600
acclimation factor *(MPH2),TraesCS7A02G413800
acclimation factor *(MPH2),TraesCS7B02G313800
acclimation factor *(MPH2),TraesCS7D02G407100
acclimation factor *(APE),TraesCS7A02G291000
acclimation factor *(APE),TraesCS7B02G183100
acclimation factor *(APE),TraesCS7D02G290500
light-responsive regulatory protein *(SEP1),TraesCS7A02G406800
light-responsive regulatory protein *(SEP1),TraesCS7B02G306800
light-responsive regulatory protein *(SEP5),TraesCS6A02G219100
light-responsive regulatory protein *(SEP5),TraesCS6B02G248600
light-responsive regulatory protein *(SEP5),TraesCS6D02G202200
assembly factor *(CcsA/YCF5),TraesCS5A02G272300
assembly factor *(Ccs1/CcsB),TraesCS5A02G404800
assembly factor *(Ccs1/CcsB),TraesCS5B02G409700
assembly factor *(Ccs1/CcsB),TraesCS5D02G414900
assembly factor *(Ccs5/CcdA),TraesCS5A02G135700
FNR-interacting protein *(TIC62),TraesCS5A02G269800
FNR-interacting protein *(TIC62),TraesCS5B02G270200
FNR-interacting protein *(TIC62),TraesCS5D02G277900
component *(NdhB),TraesCS5D02G009000
component *(NdhB),TraesCS6A02G114300
component *(NdhB),TraesCS6D02G158700
component *(NdhB),TraesCS7B02G091200
component *(NdhC),TraesCS5A02G399200
component *(NdhC),TraesCS5A02G399300
component *(NdhC),TraesCS5D02G010500
component *(NdhE),TraesCS5B02G234800
component *(NdhE),TraesCS5B02G247100
component *(NdhE),TraesCS7A02G290600
component *(NdhE),TraesCS7D02G255700
component *(NdhG),TraesCS5A02G010700
component *(NdhG),TraesCS5B02G247000
component *(NdhG),TraesCS5B02G250700
component *(NdhH),TraesCS7B02G080500
component *(NdhI),TraesCS5B02G250600
component *(NdhI),TraesCS7B02G395600
component *(NdhK),TraesCS5D02G459000
component *(NdhL),TraesCS5A02G230400
component *(NdhL),TraesCS5B02G228900
component *(NdhL),TraesCS5D02G237400
component *(PnsB3/NDF4),TraesCS7A02G108600
component *(PnsB3/NDF4),TraesCS7B02G006600
component *(PnsB3/NDF4),TraesCS7D02G103500
component *(PnsB4/NDF6),TraesCS6A02G308100
component *(PnsB4/NDF6),TraesCS6B02G336800
component *(PnsB4/NDF6),TraesCS6D02G287300
component *(PnsL2/PQL1),TraesCS6A02G206600
component *(PnsL2/PQL1),TraesCS6B02G227900
component *(PnsL2/PQL1),TraesCS6D02G187800
component *(PnsL3/PQL2),TraesCS5A02G461500
component *(PnsL3/PQL2),TraesCS5B02G471700
component *(PnsL3/PQL2),TraesCS5D02G474200
component *(PnsL4),TraesCS6A02G302500
component *(PnsL4),TraesCS6B02G331700
component *(PnsL4),TraesCS6D02G282000
component *(NdhU),TraesCS5A02G108400
component *(NdhU),TraesCS5B02G114900
component *(NdhU),TraesCS5D02G117100
ndhA-specific mRNA splicing factor,TraesCS6A02G163600
ndhA-specific mRNA splicing factor,TraesCS6B02G186300
ndhA-specific mRNA splicing factor,TraesCS6D02G147800
Cpn60 chaperonin heterodimer,TraesCS5A02G366800
subunit alpha,TraesCS5A02G366800
Cpn60 chaperonin heterodimer,TraesCS5B02G368900
subunit alpha,TraesCS5B02G368900
Cpn60 chaperonin heterodimer,TraesCS5B02G563900
subunit alpha,TraesCS5B02G563900
Cpn60 chaperonin heterodimer,TraesCS5D02G376000
subunit alpha,TraesCS5D02G376000
Cpn60 chaperonin heterodimer,TraesCS5D02G550700
subunit alpha,TraesCS5D02G550700
Cpn60 chaperonin heterodimer,TraesCS6A02G006400
subunit beta,TraesCS6A02G006400
Cpn60 chaperonin heterodimer,TraesCS6A02G028100
subunit beta,TraesCS6A02G028100
Cpn60 chaperonin heterodimer,TraesCS6B02G011800
subunit beta,TraesCS6B02G011800
Cpn60 chaperonin heterodimer,TraesCS6B02G012000
subunit beta,TraesCS6B02G012000
Cpn60 chaperonin heterodimer,TraesCS6B02G039300
subunit beta,TraesCS6B02G039300
Cpn60 chaperonin heterodimer,TraesCS6D02G009100
subunit beta,TraesCS6D02G009100
Cpn60 chaperonin heterodimer,TraesCS6D02G031400
subunit beta,TraesCS6D02G031400
Cpn60 chaperonin heterodimer,TraesCS7A02G036200
subunit beta,TraesCS7A02G036200
Cpn60 chaperonin heterodimer,TraesCS7D02G032800
subunit beta,TraesCS7D02G032800
assembly factor *(CRR1),TraesCS5A02G524800
assembly factor *(CRR3),TraesCS5A02G179300
assembly factor *(CRR3),TraesCS5B02G177200
assembly factor *(CRR3),TraesCS5D02G184000
assembly factor *(CRR6),TraesCS6A02G048600
assembly factor *(CRR6),TraesCS6B02G065300
assembly factor *(NDF5),TraesCS5A02G386900
assembly factor *(NDF5),TraesCS5B02G391800
assembly factor *(NDF5),TraesCS5D02G396700
assembly factor *(CRR42),TraesCS7A02G427400
assembly factor *(CRR42),TraesCS7D02G419700
linker protein *(LHCa5),TraesCS6A02G319700
linker protein *(LHCa5),TraesCS6B02G350500
linker protein *(LHCa5),TraesCS6D02G299200
linker protein *(LHCa6),TraesCS5A02G213000
linker protein *(LHCa6),TraesCS5D02G219100
component *(NDUFA9/39kDa),TraesCS6A02G389100
component *(NDUFA9/39kDa),TraesCS6B02G430100
component *(NDUFA9/39kDa),TraesCS6D02G374400
component *(NDUFA11/B14,TraesCS5A02G173600
component *(NDUFA11/B14,TraesCS5B02G171000
component *(NDUFA11/B14,TraesCS5D02G178100
component *(NDUFA11/B14,TraesCS6A02G280600
component *(NDUFA11/B14,TraesCS6B02G308900
component *(NDUFA11/B14,TraesCS6D02G260800
component *(NDUFB1/MNLL),TraesCS6A02G076300
component *(NDUFB1/MNLL),TraesCS6B02G101700
component *(NDUFB2/AGGG),TraesCS7A02G546400
component *(NDUFB2/AGGG),TraesCS7B02G469400
component *(NDUFB2/AGGG),TraesCS7D02G532600
component *(NDUFB3/B12),TraesCS6A02G198900
component *(NDUFB3/B12),TraesCS6B02G115500
component *(NDUFB3/B12),TraesCS6B02G221500
component *(NDUFB3/B12),TraesCS6D02G180900
component *(NDUFB7/B18),TraesCS5A02G496200
component *(NDUFB9/B22),TraesCS7A02G384400
component *(NDUFB9/B22),TraesCS7B02G287000
component *(NDUFB9/B22),TraesCS7D02G380800
component *(NDUFB11/ESSS),TraesCS5A02G264300
component *(NDUFB11/ESSS),TraesCS5B02G263600
component *(NDUFB11/ESSS),TraesCS5D02G271800
component *(CA),TraesCS7A02G107200
component *(CAL),TraesCS7A02G107200
component *(CA),TraesCS7B02G005800
component *(CAL),TraesCS7B02G005800
component *(CA),TraesCS7D02G101600
component *(CAL),TraesCS7D02G101600
component *(CAL),TraesCS6A02G188800
component *(CAL),TraesCS6B02G215700
component *(CAL),TraesCS6D02G177500
integral membrane component *(CcmB),TraesCS6B02G233200
component *(CcmC),TraesCS5A02G020400
component *(CcmC),TraesCS5A02G133500
component *(CcmC),TraesCS5D02G079300
component *(CcmC),TraesCS6A02G344200
component *(CcmC),TraesCS6D02G118300
component *(CcmC),TraesCS7A02G011200
component *(CcmC),TraesCS7A02G164900
component *(CcmC),TraesCS7B02G488500
component *(CcmC),TraesCS7D02G239100
component *(CcmC),TraesCS7D02G529800
component *(CcmC),TraesCS7D02G533400
component *(CcmC),TraesCS7D02G533500
component *(CcmFn),TraesCS6D02G200900
component *(CcmFn),TraesCS6D02G375100
component *(CcmFn),TraesCS7D02G238600
component *(CcmFn),TraesCS7D02G533300
component *(CcmH),TraesCS5A02G495300
metallochaperone *(HCC),TraesCS5A02G190400
metallochaperone *(HCC),TraesCS5B02G192800
metallochaperone *(HCC),TraesCS5D02G200500
metallochaperone *(HCC),TraesCS7A02G446800
metallochaperone *(HCC),TraesCS7B02G346600
metallochaperone *(HCC),TraesCS7D02G435100
copper chaperone *(COX17),TraesCS5A02G224100
copper chaperone *(COX17),TraesCS5B02G222900
copper chaperone *(COX17),TraesCS5D02G231500
copper chaperone *(COX17),TraesCS6A02G355800
copper chaperone *(COX17),TraesCS6A02G356400
copper chaperone *(COX17),TraesCS6B02G388500
copper chaperone *(COX17),TraesCS6D02G338400
copper chaperone *(COX17),TraesCS6D02G338600
copper trafficking factor *(COX19),TraesCS5A02G169200
copper trafficking factor *(COX19),TraesCS5B02G165900
copper trafficking factor *(COX19),TraesCS5D02G173600
copper trafficking factor *(COX23),TraesCS7A02G355200
assembly factor *(PET191),TraesCS5A02G306000
assembly factor *(PET191),TraesCS5B02G306400
assembly factor *(PET191),TraesCS5D02G313000
membrane insertase *(Oxa1),TraesCS5A02G527000
protoheme IX farnesyltransferase *(COX10),TraesCS6A02G097000
protoheme IX farnesyltransferase *(COX10),TraesCS6B02G125500
protoheme IX farnesyltransferase *(COX10),TraesCS6D02G085400
protoheme IX farnesyltransferase *(COX10),TraesCS7D02G110900
heme-o to heme-a conversion factor *(COX15),TraesCS7A02G239000
heme-o to heme-a conversion factor *(COX15),TraesCS7B02G134700
heme-o to heme-a conversion factor *(COX15),TraesCS7D02G236800
alpha amylase,TraesCS5A02G238100
alpha amylase,TraesCS5A02G464500
alpha amylase,TraesCS5B02G236600
alpha amylase,TraesCS5B02G475700
alpha amylase,TraesCS5B02G476000
alpha amylase,TraesCS5D02G245000
alpha amylase,TraesCS5D02G477100
alpha amylase,TraesCS6A02G319300
alpha amylase,TraesCS6A02G334100
alpha amylase,TraesCS6A02G334200
alpha amylase,TraesCS6B02G349500
alpha amylase,TraesCS6B02G349700
alpha amylase,TraesCS6B02G349800
alpha amylase,TraesCS6B02G364800
alpha amylase,TraesCS6B02G364900
alpha amylase,TraesCS6D02G298500
alpha amylase,TraesCS6D02G313300
alpha amylase,TraesCS6D02G313500
alpha amylase,TraesCS7A02G383200
alpha amylase,TraesCS7A02G383900
alpha amylase,TraesCS7A02G384000
alpha amylase,TraesCS7B02G286000
alpha amylase,TraesCS7B02G286100
alpha amylase,TraesCS7B02G286700
alpha amylase,TraesCS7D02G379700
alpha amylase,TraesCS7D02G380400
alpha amylase,TraesCS7D02G380500
beta amylase,TraesCS5A02G513200
beta amylase,TraesCS5A02G554200
isoamylase *(ISA3),TraesCS5A02G248700
isoamylase *(ISA3),TraesCS5B02G246400
isoamylase *(ISA3),TraesCS5D02G255800
pullulan-6-glucanohydrolase *(PU1),TraesCS7A02G133500
pullulan-6-glucanohydrolase *(PU1),TraesCS7B02G034600
pullulan-6-glucanohydrolase *(PU1),TraesCS7D02G133100
small subunit,TraesCS5A02G156200
small subunit,TraesCS5B02G154400
small subunit,TraesCS5D02G161500
ornithine aminotransferase,TraesCS5A02G375000
ornithine aminotransferase,TraesCS5B02G376900
ornithine aminotransferase,TraesCS5D02G384500
cystathionine beta-lyase,TraesCS7A02G138600
cystathionine beta-lyase,TraesCS7B02G040800
cystathionine beta-lyase,TraesCS7D02G140400
methyl-tetrahydrofolate-dependent methionine synthase,TraesCS5A02G024900
methyl-tetrahydrofolate-dependent methionine synthase,TraesCS5B02G022800
methyl-tetrahydrofolate-dependent methionine synthase,TraesCS5D02G031300
homocysteine S-methyltransferase,TraesCS5A02G053100
homocysteine S-methyltransferase,TraesCS5B02G063300
homocysteine S-methyltransferase,TraesCS5D02G064400
methionine S-methyltransferase,TraesCS5A02G436300
methionine S-methyltransferase,TraesCS5B02G439400
methionine S-methyltransferase,TraesCS7A02G046700
methylthioadenosine nucleosidase *(MTN),TraesCS7A02G032500
methylthioadenosine nucleosidase *(MTN),TraesCS7D02G029100
trifunctional methylthioribulose-1-phosphate dehydratase/enolase/phosphatase *(DEP),TraesCS5A02G098700
trifunctional methylthioribulose-1-phosphate dehydratase/enolase/phosphatase *(DEP),TraesCS5B02G103900
trifunctional methylthioribulose-1-phosphate dehydratase/enolase/phosphatase *(DEP),TraesCS5D02G110900
acireductone dioxygenase *(ARD),TraesCS6A02G206800
acireductone dioxygenase *(ARD),TraesCS6A02G206900
catalytic component,TraesCS6A02G288000
catalytic component,TraesCS6B02G087100
catalytic component,TraesCS6B02G087200
catalytic component,TraesCS6B02G317400
catalytic component,TraesCS6D02G268700
regulatory subunit,TraesCS6A02G218300
regulatory subunit,TraesCS6B02G247900
regulatory subunit,TraesCS6B02G307900
regulatory subunit,TraesCS6D02G201500
2-isopropylmalate synthase *(IPMS),TraesCS5A02G131300
2-isopropylmalate synthase *(IPMS),TraesCS5B02G133500
2-isopropylmalate synthase *(IPMS),TraesCS5D02G139800
substrate(IPMS) adaptor of SCF E3 ubiquitin ligase,TraesCS5A02G236500
substrate(IPMS) adaptor of SCF E3 ubiquitin ligase,TraesCS5B02G235000
substrate(IPMS) adaptor of SCF E3 ubiquitin ligase,TraesCS5D02G243500
large subunit,TraesCS6A02G080600
large subunit,TraesCS6B02G108100
large subunit,TraesCS6D02G074300
small subunit,TraesCS6A02G243600
small subunit,TraesCS6B02G280700
small subunit,TraesCS6D02G225800
subunit alpha,TraesCS5B02G121400
subunit alpha,TraesCS5D02G126700
subunit beta,TraesCS6A02G036000
subunit beta,TraesCS6B02G050600
subunit beta,TraesCS6D02G041600
subunit alpha,TraesCS5A02G053700
subunit alpha,TraesCS5B02G062500
subunit alpha,TraesCS5D02G065100
subunit beta,TraesCS7A02G102600
subunit beta,TraesCS7D02G096600
subunit alpha,TraesCS5B02G515500
subunit alpha,TraesCS5D02G515700
subunit beta,TraesCS6A02G409600
subunit beta,TraesCS6B02G455600
subunit beta,TraesCS6D02G393200
subunit beta,TraesCS5A02G030800
subunit beta,TraesCS5A02G374500
subunit beta,TraesCS5B02G030400
subunit beta,TraesCS5B02G376400
subunit beta,TraesCS5D02G039000
subunit beta,TraesCS5D02G384100
3-ketoacyl-CoA synthase *(KCS),TraesCS5A02G076500
3-ketoacyl-CoA synthase *(KCS),TraesCS5A02G195500
3-ketoacyl-CoA synthase *(KCS),TraesCS5A02G309100
3-ketoacyl-CoA synthase *(KCS),TraesCS5A02G309200
3-ketoacyl-CoA synthase *(KCS),TraesCS5B02G010500
3-ketoacyl-CoA synthase *(KCS),TraesCS5B02G187900
3-ketoacyl-CoA synthase *(KCS),TraesCS5B02G309800
3-ketoacyl-CoA synthase *(KCS),TraesCS5B02G309900
3-ketoacyl-CoA synthase *(KCS),TraesCS5D02G017000
3-ketoacyl-CoA synthase *(KCS),TraesCS5D02G089800
3-ketoacyl-CoA synthase *(KCS),TraesCS5D02G195500
3-ketoacyl-CoA synthase *(KCS),TraesCS5D02G316100
3-ketoacyl-CoA synthase *(KCS),TraesCS5D02G316200
3-ketoacyl-CoA synthase *(KCS),TraesCS5D02G528300
3-ketoacyl-CoA synthase *(KCS),TraesCS6A02G024400
3-ketoacyl-CoA synthase *(KCS),TraesCS6A02G025200
3-ketoacyl-CoA synthase *(KCS),TraesCS6A02G026800
3-ketoacyl-CoA synthase *(KCS),TraesCS6A02G073300
3-ketoacyl-CoA synthase *(KCS),TraesCS6A02G177700
3-ketoacyl-CoA synthase *(KCS),TraesCS6A02G293700
3-ketoacyl-CoA synthase *(KCS),TraesCS6A02G341400
3-ketoacyl-CoA synthase *(KCS),TraesCS6A02G383700
3-ketoacyl-CoA synthase *(KCS),TraesCS6A02G415500
3-ketoacyl-CoA synthase *(KCS),TraesCS6B02G033500
3-ketoacyl-CoA synthase *(KCS),TraesCS6B02G036000
3-ketoacyl-CoA synthase *(KCS),TraesCS6B02G098300
3-ketoacyl-CoA synthase *(KCS),TraesCS6B02G207000
3-ketoacyl-CoA synthase *(KCS),TraesCS6B02G324200
3-ketoacyl-CoA synthase *(KCS),TraesCS6B02G372900
3-ketoacyl-CoA synthase *(KCS),TraesCS6B02G373000
3-ketoacyl-CoA synthase *(KCS),TraesCS6B02G422900
3-ketoacyl-CoA synthase *(KCS),TraesCS6B02G473900
3-ketoacyl-CoA synthase *(KCS),TraesCS6D02G071600
3-ketoacyl-CoA synthase *(KCS),TraesCS6D02G166600
3-ketoacyl-CoA synthase *(KCS),TraesCS6D02G274600
3-ketoacyl-CoA synthase *(KCS),TraesCS6D02G321600
3-ketoacyl-CoA synthase *(KCS),TraesCS6D02G368700
3-ketoacyl-CoA synthase *(KCS),TraesCS7A02G032900
3-ketoacyl-CoA synthase *(KCS),TraesCS7A02G107500
3-ketoacyl-CoA synthase *(KCS),TraesCS7A02G107700
3-ketoacyl-CoA synthase *(KCS),TraesCS7A02G107900
3-ketoacyl-CoA synthase *(KCS),TraesCS7A02G108000
3-ketoacyl-CoA synthase *(KCS),TraesCS7A02G108300
3-ketoacyl-CoA synthase *(KCS),TraesCS7A02G205700
3-ketoacyl-CoA synthase *(KCS),TraesCS7A02G205800
3-ketoacyl-CoA synthase *(KCS),TraesCS7A02G206000
3-ketoacyl-CoA synthase *(KCS),TraesCS7A02G206100
3-ketoacyl-CoA synthase *(KCS),TraesCS7A02G372300
3-ketoacyl-CoA synthase *(KCS),TraesCS7A02G532300
3-ketoacyl-CoA synthase *(KCS),TraesCS7B02G006100
3-ketoacyl-CoA synthase *(KCS),TraesCS7B02G006200
3-ketoacyl-CoA synthase *(KCS),TraesCS7B02G006300
3-ketoacyl-CoA synthase *(KCS),TraesCS7B02G113000
3-ketoacyl-CoA synthase *(KCS),TraesCS7B02G113100
3-ketoacyl-CoA synthase *(KCS),TraesCS7B02G113200
3-ketoacyl-CoA synthase *(KCS),TraesCS7B02G113300
3-ketoacyl-CoA synthase *(KCS),TraesCS7B02G254900
3-ketoacyl-CoA synthase *(KCS),TraesCS7B02G449000
3-ketoacyl-CoA synthase *(KCS),TraesCS7B02G449300
3-ketoacyl-CoA synthase *(KCS),TraesCS7D02G029500
3-ketoacyl-CoA synthase *(KCS),TraesCS7D02G035700
3-ketoacyl-CoA synthase *(KCS),TraesCS7D02G076400
3-ketoacyl-CoA synthase *(KCS),TraesCS7D02G089200
3-ketoacyl-CoA synthase *(KCS),TraesCS7D02G101900
3-ketoacyl-CoA synthase *(KCS),TraesCS7D02G102000
3-ketoacyl-CoA synthase *(KCS),TraesCS7D02G102300
3-ketoacyl-CoA synthase *(KCS),TraesCS7D02G102400
3-ketoacyl-CoA synthase *(KCS),TraesCS7D02G102800
3-ketoacyl-CoA synthase *(KCS),TraesCS7D02G102900
3-ketoacyl-CoA synthase *(KCS),TraesCS7D02G208500
3-ketoacyl-CoA synthase *(KCS),TraesCS7D02G208600
3-ketoacyl-CoA synthase *(KCS),TraesCS7D02G208700
3-ketoacyl-CoA synthase *(KCS),TraesCS7D02G208800
3-ketoacyl-CoA synthase *(KCS),TraesCS7D02G208900
3-ketoacyl-CoA synthase *(KCS),TraesCS7D02G209400
3-ketoacyl-CoA synthase *(KCS),TraesCS7D02G350500
3-ketoacyl-CoA synthase *(KCS),TraesCS7D02G519300
3-ketoacyl-CoA synthase *(KCS),TraesCS7D02G519400
condensing enzyme *(ELO),TraesCS5A02G010500
condensing enzyme *(ELO),TraesCS5B02G008100
condensing enzyme *(ELO),TraesCS5D02G015300
electron shuttle hemoprotein *(Cyt-b5),TraesCS5A02G138900
electron shuttle hemoprotein *(Cyt-b5),TraesCS5A02G391900
electron shuttle hemoprotein *(Cyt-b5),TraesCS5B02G138200
electron shuttle hemoprotein *(Cyt-b5),TraesCS5B02G396800
electron shuttle hemoprotein *(Cyt-b5),TraesCS5D02G152500
electron shuttle hemoprotein *(Cyt-b5),TraesCS5D02G401800
electron shuttle hemoprotein *(Cyt-b5),TraesCS6A02G240700
electron shuttle hemoprotein *(Cyt-b5),TraesCS6B02G284000
electron shuttle hemoprotein *(Cyt-b5),TraesCS6D02G222900
electron shuttle hemoprotein *(Cyt-b5),TraesCS7A02G437700
electron shuttle hemoprotein *(Cyt-b5),TraesCS7B02G336600
electron shuttle hemoprotein *(Cyt-b5),TraesCS7D02G427500
UPS2-Mdm35 phospholipid transfer complex,TraesCS5A02G263400
UPS2-Mdm35 phospholipid transfer complex,TraesCS5B02G262700
UPS2-Mdm35 phospholipid transfer complex,TraesCS5D02G271000
UPS2-Mdm35 phospholipid transfer complex,TraesCS6A02G281500
UPS2-Mdm35 phospholipid transfer complex,TraesCS6B02G310300
UPS2-Mdm35 phospholipid transfer complex,TraesCS6D02G262200
UPS2-Mdm35 phospholipid transfer complex,TraesCS5A02G194000
UPS2-Mdm35 phospholipid transfer complex,TraesCS5B02G189300
UPS2-Mdm35 phospholipid transfer complex,TraesCS5D02G196400
MICOS complex,TraesCS5B02G525500
MICOS complex,TraesCS5D02G524700
lipase *(SDP),TraesCS5A02G465200
lipase *(SDP),TraesCS5B02G477000
lipase *(SDP),TraesCS5D02G477800
triacylglycerol lipase *(LIP),TraesCS5A02G159300
triacylglycerol lipase *(LIP),TraesCS5B02G157100
triacylglycerol lipase *(LIP),TraesCS5D02G164400
triacylglycerol lipase *(LIP),TraesCS7A02G259100
triacylglycerol lipase *(LIP),TraesCS7A02G389500
triacylglycerol lipase *(LIP),TraesCS7A02G389600
triacylglycerol lipase *(LIP),TraesCS7B02G156900
triacylglycerol lipase *(LIP),TraesCS7B02G291300
triacylglycerol lipase *(LIP),TraesCS7B02G291400
triacylglycerol lipase *(LIP),TraesCS7D02G260100
triacylglycerol lipase *(LIP),TraesCS7D02G385500
triacylglycerol lipase *(LIP),TraesCS7D02G385700
lipase *(OBL),TraesCS6A02G332100
lipase *(OBL),TraesCS6B02G362900
lipase *(OBL),TraesCS6D02G311400
lipase *(OBL),TraesCS7A02G169800
lipase *(OBL),TraesCS7A02G170100
lipase *(OBL),TraesCS7B02G075000
lipase *(OBL),TraesCS7B02G075200
lipase *(OBL),TraesCS7D02G171000
phospholipase-A1 *(PC-PLA1),TraesCS5A02G036100
phospholipase-A1 *(PC-PLA1),TraesCS5A02G511000
phospholipase-A1 *(PC-PLA1),TraesCS5B02G036700
phospholipase-A1 *(PC-PLA1),TraesCS5D02G044200
phospholipase-A1 *(PC-PLA1),TraesCS6A02G242700
phospholipase-A1 *(PC-PLA1),TraesCS6B02G281800
phospholipase-A1 *(PC-PLA1),TraesCS6D02G224700
phospholipase-A1 *(PC-PLA1),TraesCS7A02G306300
phospholipase-A1 *(PC-PLA1),TraesCS7B02G206500
phospholipase-A1 *(PC-PLA1),TraesCS7D02G303000
phospholipase-A1 *(PA-PLA1),TraesCS7A02G320600
phospholipase-A1 *(PA-PLA1),TraesCS7B02G221600
phospholipase-A1 *(PA-PLA1),TraesCS7D02G317500
phospholipase-A2 *(sPLA2)),TraesCS6D02G404600
phospholipase-A2 *(sPLA2)),TraesCS7A02G457900
phospholipase-A2 *(sPLA2)),TraesCS7B02G358400
phospholipase-A2 *(sPLA2)),TraesCS7D02G446400
phospholipase-A2 *(pPLA2-II)),TraesCS5A02G243200
phospholipase-A2 *(pPLA2-II)),TraesCS5B02G241100
phospholipase-A2 *(pPLA2-II)),TraesCS5B02G529000
phospholipase-A2 *(pPLA2-II)),TraesCS5B02G529100
phospholipase-A2 *(pPLA2-II)),TraesCS5D02G249800
phospholipase-A2 *(pPLA2-II)),TraesCS5D02G528000
phospholipase-A2 *(pPLA2-II)),TraesCS5D02G528100
phospholipase-A2 *(pPLA2-II)),TraesCS6A02G004800
phospholipase-A2 *(pPLA2-II)),TraesCS6A02G142200
phospholipase-A2 *(pPLA2-II)),TraesCS6B02G009800
phospholipase-A2 *(pPLA2-II)),TraesCS6B02G170200
phospholipase-A2 *(pPLA2-II)),TraesCS6D02G007000
phospholipase-A2 *(pPLA2-II)),TraesCS7A02G038300
phospholipase-A2 *(pPLA2-II)),TraesCS7A02G177300
phospholipase-A2 *(pPLA2-II)),TraesCS7A02G504100
phospholipase-A2 *(pPLA2-II)),TraesCS7A02G504200
phospholipase-A2 *(pPLA2-II)),TraesCS7A02G504400
phospholipase-A2 *(pPLA2-II)),TraesCS7A02G504700
phospholipase-A2 *(pPLA2-II)),TraesCS7B02G082400
phospholipase-A2 *(pPLA2-II)),TraesCS7B02G411200
